Chromosome	Position	Depth
chr1	9997	2
chr1	9998	4
chr1	9999	6
chr1	10000	8
chr1	10001	16
chr1	10002	19
chr1	10003	24
chr1	10004	29
chr1	10005	34
chr1	10006	42
chr1	10007	42
chr1	10008	41
chr1	10009	42
chr1	10010	45
chr1	10011	50
chr1	10012	53
chr1	10013	57
chr1	10014	58
chr1	10015	58
chr1	10016	58
chr1	10017	58
chr1	10018	59
chr1	10019	59
chr1	10020	59
chr1	10021	59
chr1	10022	61
chr1	10023	61
chr1	10024	63
chr1	10025	63
chr1	10026	64
chr1	10027	65
chr1	10028	65
chr1	10029	66
chr1	10030	69
chr1	10031	69
chr1	10032	70
chr1	10033	73
chr1	10034	74
chr1	10035	74
chr1	10036	74
chr1	10037	76
chr1	10038	77
chr1	10039	78
chr1	10040	78
chr1	10041	79
chr1	10042	80
chr1	10043	80
chr1	10044	79
chr1	10045	80
chr1	10046	80
chr1	10047	80
chr1	10048	80
chr1	10049	80
chr1	10050	79
chr1	10051	82
chr1	10052	84
chr1	10053	84
chr1	10054	85
chr1	10055	85
chr1	10056	86
chr1	10057	85
chr1	10058	85
chr1	10059	86
chr1	10060	87
chr1	10061	89
chr1	10062	89
chr1	10063	93
chr1	10064	96
chr1	10065	97
chr1	10066	98
chr1	10067	102
chr1	10068	104
chr1	10069	105
chr1	10070	106
chr1	10071	108
chr1	10072	109
chr1	10073	109
chr1	10074	106
chr1	10075	110
chr1	10076	109
chr1	10077	110
chr1	10078	112
chr1	10079	113
chr1	10080	119
chr1	10081	122
chr1	10082	123
chr1	10083	129
chr1	10084	132
chr1	10085	136
chr1	10086	140
chr1	10087	144
chr1	10088	145
chr1	10089	151
chr1	10090	155
chr1	10091	162
chr1	10092	163
chr1	10093	166
chr1	10094	173
chr1	10095	183
chr1	10096	189
chr1	10097	191
chr1	10098	199
chr1	10099	200
chr1	10100	200
chr1	10101	203
chr1	10102	204
chr1	10103	203
chr1	10104	204
chr1	10105	199
chr1	10106	198
chr1	10107	198
chr1	10108	196
chr1	10109	196
chr1	10110	195
chr1	10111	196
chr1	10112	193
chr1	10113	190
chr1	10114	191
